29 124 -1 [1, 0, 0, 0, -1, 0, 1, 0, 0] 6 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
29 125 -1 [1, 0, 0, 0, -1, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
29 126 -1 [1, 0, 0, 0, -1, 0, 0, 0, 1] 8 {'N': 1, 'W': 1, 'Q': 1.0, 'P': None}
31 107 -1 [1, 1, 0, 0, 0, 0, -1, 0, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
31 108 -1 [1, 0, 1, 0, 0, 0, -1, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
31 109 -1 [1, 0, 0, 1, 0, 0, -1, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
31 110 -1 [1, 0, 0, 0, 1, 0, -1, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
31 111 -1 [1, 0, 0, 0, 0, 1, -1, 0, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
31 112 -1 [1, 0, 0, 0, 0, 0, -1, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
31 113 -1 [1, 0, 0, 0, 0, 0, -1, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 42 -1 [1, 1, 0, 0, 0, 0, 0, -1, 0] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 43 -1 [1, 0, 1, 0, 0, 0, 0, -1, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 44 -1 [1, 0, 0, 1, 0, 0, 0, -1, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 45 -1 [1, 0, 0, 0, 1, 0, 0, -1, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 46 -1 [1, 0, 0, 0, 0, 1, 0, -1, 0] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 47 -1 [1, 0, 0, 0, 0, 0, 1, -1, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
32 48 -1 [1, 0, 0, 0, 0, 0, 0, -1, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
63 241 -1 [-1, 1, 1, 0, 0, 0, 0, 0, 0] 2 {'N': 191, 'W': 76, 'Q': 0.39790575916230364, 'P': None}
63 242 -1 [-1, 1, 0, 1, 0, 0, 0, 0, 0] 3 {'N': 171, 'W': 8, 'Q': 0.04678362573099415, 'P': None}
63 243 -1 [-1, 1, 0, 0, 1, 0, 0, 0, 0] 4 {'N': 164, 'W': 5, 'Q': 0.03048780487804878, 'P': None}
63 244 -1 [-1, 1, 0, 0, 0, 1, 0, 0, 0] 5 {'N': 5, 'W': 2, 'Q': 0.4, 'P': None}
63 245 -1 [-1, 1, 0, 0, 0, 0, 1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
63 246 -1 [-1, 1, 0, 0, 0, 0, 0, 1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
63 247 -1 [-1, 1, 0, 0, 0, 0, 0, 0, 1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
64 100 -1 [1, 1, -1, 0, 0, 0, 0, 0, 0] 0 {'N': 281, 'W': 184, 'Q': 0.6548042704626335, 'P': None}
64 101 -1 [0, 1, -1, 1, 0, 0, 0, 0, 0] 3 {'N': 303, 'W': 74, 'Q': 0.24422442244224424, 'P': None}
64 102 -1 [0, 1, -1, 0, 1, 0, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
