52 203 -1 [-1, 0, 0, 0, 1, 0, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
52 204 -1 [-1, 0, 0, 0, 1, 0, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
52 205 -1 [-1, 0, 0, 0, 1, 0, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
53 93 -1 [-1, -1, 1, -1, 0, 1, -1, 1, 0] 1 {'N': 1, 'W': -1, 'Q': -1.0, 'P': None}
53 94 -1 [-1, 0, -1, 0, 0, 1, 0, 0, 0] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
53 95 -1 [-1, 0, 0, -1, 0, 1, 0, 0, 0] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
53 96 -1 [-1, 0, 0, 0, -1, 1, 0, 0, 0] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
53 97 -1 [-1, 0, 0, 0, 0, 1, -1, 0, 0] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
53 98 -1 [-1, 0, 0, 0, 0, 1, 0, -1, 0] 7 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
53 99 -1 [-1, 0, 0, 0, 0, 1, 0, 0, -1] 8 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
56 57 -1 [-1, -1, 0, 0, 0, 0, 0, 0, 1] 1 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
56 58 -1 [-1, 0, -1, 0, 0, 0, 0, 0, 1] 2 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
56 59 -1 [-1, 0, 0, -1, 0, 0, 0, 0, 1] 3 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
56 60 -1 [-1, 0, 0, 0, -1, 0, 0, 0, 1] 4 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
56 61 -1 [-1, 0, 0, 0, 0, -1, 0, 0, 1] 5 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
56 62 -1 [-1, 0, 0, 0, 0, 0, -1, 0, 1] 6 {'N': 0, 'W': 0, 'Q': 0, 'P': None}
